"domain","role1","role2","role3","action1","action2","action3","resource1","resource2","resource3"
"Cloud Infrastructure Access","CloudArchitect","DevOpsEngineer","Auditor","Provision","Configure","Audit","VirtualMachines","StorageBuckets","IAMPolicies"
"Patient Record Access","Doctor","Nurse","Receptionist","Diagnose","Update","Schedule","PatientHistory","TreatmentPlans","Appointments"
"Software Development Pipeline","ReleaseManager","Developer","QATester","Deploy","Commit","Review","ProductionEnvironment","SourceCodeRepository","TestReports"
"Enterprise Network Management","NetworkAdmin","SecurityAnalyst","ITSupport","Reboot","Monitor","Troubleshoot","CoreRouters","FirewallRules","VPNLogs"
"Hospital Pharmacy System","Pharmacist","AttendingPhysician","PharmacyTech","Dispense","Prescribe","Inventory","ControlledSubstances","PatientPrescriptions","StockLevels"
"Digital Content Publishing","Editor-in-Chief","Journalist","Freelancer","Publish","Draft","Suggest","FrontPageBanner","DraftArticles","MediaLibrary"
"E-Commerce Platform","StoreOwner","FulfillmentAgent","Customer","Configure","Ship","Purchase","StoreTheme","OrderQueue","ShoppingCart"
"Corporate Banking","BranchManager","BankTeller","AccountHolder","Approve","Transfer","View","InternationalWires","InternalAccounts","TransactionHistory"
"University Grading System","Professor","TeachingAssistant","Student","Certify","Grade","View","FinalTranscripts","SubmittedAssignments","CourseSyllabus"
"Physical Building Security","HeadofSecurity","Employee","Visitor","Unlock","Lock","RequestAccess","ServerRoom","MainLobby","GuestWiFi"
"Data Center Physical Access","FacilityManager","HardwareTechnician","Vendor","Authorize","Repair","Inspect","MainServerFloor","CoolingSystems","VisitorLog"
"Customer Relationship Management","SalesDirector","AccountExecutive","SDR","Export","Negotiate","LogCall","QuarterlyRevenueReports","ClientContracts","LeadDatabase"
"Restaurant Point of Sale","GeneralManager","Server","Host","Void","Charge","Seat","CashRegister","TableOrders","ReservationList"
"Hotel Property Management","GeneralManager","FrontDeskAgent","Housekeeper","Refund","Check-in","Clean","FinancialLedgers","GuestRooms","CleaningSchedule"
"Social Media Moderation","TrustandSafetyLead","Moderator","User","Ban","Flag","Post","UserAccounts","ReportedContent","PublicTimeline"
"Cryptocurrency Exchange","ComplianceOfficer","Trader","SupportAgent","Freeze","Trade","Refund","WalletAddresses","OrderBook","SupportTickets"
"Employee Payroll System","HRDirector","PayrollClerk","Employee","Approve","Calculate","Download","CompanyBudget","Timesheets","TaxDocuments"
"Airline Booking System","FlightDispatcher","TicketingAgent","Passenger","Reroute","Book","Check-in","FlightManifest","SeatAssignments","BoardingPass"
"Warehouse Inventory System","SupplyChainManager","ForkliftOperator","Picker","Audit","Move","Pick","HighValueCargo","PalletRacks","ShippingBoxes"
"Corporate Legal Contracts","GeneralCounsel","Paralegal","ExternalCounsel","Sign","Draft","Review","MergerAgreements","NDAs","PublicDisclosures"
"Municipal Tax Records","ChiefAssessor","TaxClerk","Citizen","Levy","Process","Pay","CityPropertyAssessments","TaxReturns","PaymentReceipts"
"Fleet Vehicle Management","LogisticsDirector","Dispatcher","Driver","Decommission","Assign","Drive","HeavyTrucks","DeliveryRoutes","VehicleKeys"
"Cybersecurity Incident Response","CISO","IncidentResponder","SystemAdmin","Isolate","Analyze","Patch","CompromisedServers","MalwareSamples","SystemBackups"
"Library Management System","HeadLibrarian","CirculationClerk","Patron","Purchase","Loan","Borrow","RareBookArchives","GeneralCollection","StudyRooms"
"Online Course Platform","CourseCreator","Instructor","Student","Publish","Evaluate","Enroll","VideoModules","Quizzes","DiscussionForums"
"Manufacturing Plant Floor","PlantManager","MachineOperator","SafetyInspector","Halt","Operate","Inspect","AssemblyLine","HeavyMachinery","SafetyLogs"
"Smart Home Automation","Homeowner","Child","Guest","Reconfigure","Toggle","Use","SecurityCameras","Thermostat","GuestLights"
"Court Case Management","Judge","CourtClerk","Public","Seal","File","Search","ClosedVerdicts","ActiveSubpoenas","PublicDockets"
"Insurance Claims Processing","SeniorAdjuster","ClaimsAgent","Policyholder","Payout","Investigate","File","FraudReports","ClaimEvidence","InsurancePolicy"
"Video Game Server Admin","LeadDeveloper","GameMaster","Player","Ban","Moderate","Play","PlayerDatabase","In-GameChat","GameWorlds"
"Marketing Campaign Manager","CMO","MarketingSpecialist","Copywriter","Launch","Schedule","Draft","AdBudget","EmailBlasts","AdCopy"
"Tech Support Ticketing","SupportEscalationLead","Level1Agent","Customer","Resolve","Triage","Submit","EscalatedTickets","SupportQueue","KnowledgeBase"
"AI Model Deployment","MLOpsEngineer","DataScientist","DataLabeler","Deploy","Train","Label","ProductionAPI","TrainingDatasets","RawImages"
"Database Administration","DBA","DataAnalyst","Application","Drop","Query","Insert","ProductionTables","ReadReplica","TempTables"
"Employee Onboarding System","ITDirector","HRGeneralist","NewHire","Provision","Assign","Complete","ActiveDirectory","LaptopInventory","OnboardingChecklist"
"Voter Registration Database","ElectionCommissioner","PollWorker","Voter","Certify","Verify","Register","FinalVoteTallies","VoterRolls","PollingLocations"
"Police Incident Reporting","PoliceChief","PatrolOfficer","Civilian","Classify","File","Request","OngoingInvestigations","IncidentReports","PublicRecords"
"Ride-Sharing Dispatch","RegionalManager","Driver","Rider","Suspend","Accept","Request","DriverEarnings","RideRequests","UserProfiles"
"Event Ticketing System","EventOrganizer","BoxOfficeAgent","Attendee","Cancel","Sell","Transfer","VIPPasses","GeneralAdmission","VenueMap"
"Freight Shipping Tracker","PortAuthority","CustomsAgent","Importer","Clear","Inspect","Track","CargoManifests","ShippingContainers","TrackingCodes"
"Digital Asset Management","ArtDirector","GraphicDesigner","Copywriter","Approve","Upload","View","BrandGuidelines","RawVectorFiles","MarketingPhotos"
"Expense Claim Processing","CFO","DepartmentManager","Employee","Reimburse","Approve","Submit","CorporateTreasuries","DepartmentBudgets","ExpenseReceipts"
"Stock Trading Platform","BrokerageManager","Broker","RetailInvestor","MarginCall","Execute","Buy","ClearingHouseAccounts","ClientPortfolios","Watchlists"
"Public Transit Authority","TransitDirector","TrainOperator","Commuter","Reroute","Drive","Board","ControlCenter","SubwayTrains","TransitPasses"
"Real Estate MLS System","BrokerageOwner","RealEstateAgent","Buyer","Delist","List","Browse","ConfidentialSellerData","ActiveListings","VirtualTours"
"Telecommunications Billing","TelecomExecutive","BillingAgent","Subscriber","Waive","Adjust","Pay","CellularNetworkData","MonthlyBills","DataUsage"
"Research Data Repository","PrincipalInvestigator","PostdocResearcher","UndergradAssistant","Publish","Analyze","Collect","GrantProposals","LabResults","RawData"
"Zoo Animal Management","HeadZookeeper","Veterinarian","EnclosureStaff","Transfer","Treat","Feed","AnimalBreedingRecords","MedicalCharts","DietPlans"
"Streaming Service Catalog","ContentDirector","LicensingManager","Viewer","Geo-Block","License","Stream","MasterVideoFiles","RegionalCatalogs","UserWatchlist"
"Automotive Dealership","GeneralManager","CarSalesman","Customer","Discount","Sell","TestDrive","VehicleTitles","ShowroomInventory","Brochures"
"Museum Archive Access","ChiefCurator","Restorer","TourGuide","Deaccession","Handle","Show","StorageVault","RestorationLab","PublicExhibits"
